cid,entry_date,entry_price,exit_date,exit_price,exit_type,gross_return,hold_days,es,recon_date
RAY-USD,2025-06-01,2.5348050594329834,2025-06-02,2.3573687052726746,SL,-0.06999999999999998,1,E4,2025-05-31
RENDER-USD,2025-06-01,3.9239890575408936,2025-06-04,3.649309823513031,SL,-0.07000000000000005,3,E4,2025-05-31
FARTCOIN-USD,2025-06-01,1.148103952407837,2025-06-02,1.0677366757392883,SL,-0.07,1,E4,2025-05-31
BOME-USD,2025-06-01,0.001917000045068562,2025-06-04,0.0017828100419137625,SL,-0.07000000000000009,3,E4,2025-05-31
ORCA-USD,2025-06-01,2.6915531158447266,2025-06-04,2.5031443977355954,SL,-0.07000000000000012,3,E4,2025-05-31
MNDE-USD,2025-06-01,0.1195020005106926,2025-06-04,0.1111368604749441,SL,-0.0700000000000001,3,E4,2025-05-31
MSOL-USD,2025-06-01,204.57615661621094,2025-06-04,190.25582565307616,SL,-0.07000000000000006,3,E4,2025-05-31
JITOSOL-USD,2025-06-01,190.16746520996094,2025-06-04,176.85574264526366,SL,-0.07000000000000006,3,E4,2025-05-31
FIDA-USD,2025-06-01,0.0716480016708374,2025-06-03,0.06663264155387878,SL,-0.07000000000000002,2,E4,2025-05-31
GALA-USD,2025-06-01,0.016902999952435493,2025-06-04,0.015719789955765007,SL,-0.07000000000000013,3,E4,2025-05-31
PONKE-USD,2025-06-01,0.13641899824142456,2025-06-04,0.12686966836452485,SL,-0.06999999999999997,3,E4,2025-05-31
MYRO-USD,2025-06-01,0.022823000326752663,2025-06-04,0.021225390303879973,SL,-0.07000000000000012,3,E4,2025-05-31
SLERF-USD,2025-06-01,0.07552900165319443,2025-06-04,0.07024197153747082,SL,-0.06999999999999999,3,E4,2025-05-31
KMNO-USD,2025-06-01,0.05793499946594238,2025-06-03,0.053879549503326414,SL,-0.07000000000000003,2,E4,2025-05-31
PYUSD-USD,2025-06-01,0.9993979930877686,2025-07-31,0.9992780089378357,MAXHOLD,-0.00012005642473040683,60,E4,2025-05-31
HNT-USD,2025-06-01,3.3812830448150635,2025-06-03,3.1445932316780087,SL,-0.07000000000000009,2,E4,2025-05-31
IOTX-USD,2025-06-01,0.02223999984562397,2025-06-04,0.02068319985643029,SL,-0.07000000000000006,3,E4,2025-05-31
ZETA-USD,2025-06-01,0.21699999272823334,2025-06-04,0.20180999323725698,SL,-0.07000000000000009,3,E4,2025-05-31
STSOL-USD,2025-06-01,191.18064880371094,2025-06-04,177.79800338745116,SL,-0.07000000000000006,3,E4,2025-05-31
BSOL-USD,2025-06-01,192.54660034179688,2025-06-04,179.06833831787108,SL,-0.07000000000000006,3,E4,2025-05-31
CHILLGUY-USD,2025-06-01,0.07125099748373032,2025-06-03,0.06626342765986919,SL,-0.0700000000000001,2,E4,2025-05-31
ZEREBRO-USD,2025-06-01,0.03678999841213226,2025-06-02,0.034214698523283,SL,-0.07000000000000008,1,E4,2025-05-31
WIF-USD,2025-07-01,0.7830229997634888,2025-07-02,0.9207620024681091,TP,0.1759067137826402,1,E4,2025-06-30
RAY-USD,2025-07-01,2.0324220657348633,2025-07-08,2.4389064788818358,TP,0.1999999999999999,7,E4,2025-06-30
RENDER-USD,2025-07-01,3.073117971420288,2025-07-10,3.6489460468292236,TP,0.18737584458653497,9,E4,2025-06-30
FARTCOIN-USD,2025-07-01,1.0208649635314941,2025-07-02,1.2171169519424438,TP,0.19224088926712907,1,E4,2025-06-30
ORCA-USD,2025-07-01,1.8434590101242065,2025-07-09,2.212150812149048,TP,0.2,8,E4,2025-06-30
MNDE-USD,2025-07-01,0.12329000234603882,2025-07-14,0.11465970218181609,SL,-0.07000000000000008,13,E4,2025-06-30
MSOL-USD,2025-07-01,191.59547424316406,2025-07-15,227.33958435058594,TP,0.18656030497910986,14,E4,2025-06-30
JITOSOL-USD,2025-07-01,178.08615112304688,2025-07-16,213.70338134765623,TP,0.1999999999999999,15,E4,2025-06-30
FIDA-USD,2025-07-01,0.07007300108671188,2025-07-02,0.0829709991812706,TP,0.18406515911310947,1,E4,2025-06-30
GALA-USD,2025-07-01,0.013395000249147415,2025-07-09,0.016074000298976897,TP,0.1999999999999999,8,E4,2025-06-30
PONKE-USD,2025-07-01,0.11212900280952454,2025-07-02,0.12698499858379364,TP,0.132490215751809,1,E4,2025-06-30
SLERF-USD,2025-07-01,0.06632799655199051,2025-07-10,0.07875300198793411,TP,0.18732671091918768,9,E4,2025-06-30
KMNO-USD,2025-07-01,0.05757300183176994,2025-07-20,0.06864599883556366,TP,0.19232967973685564,19,E4,2025-06-30
PYUSD-USD,2025-07-01,0.9995570182800293,2025-08-30,0.9995110034942627,MAXHOLD,-4.6035178509156704e-05,60,E4,2025-06-30
HNT-USD,2025-07-01,2.1727869510650635,2025-07-09,2.607344341278076,TP,0.19999999999999987,8,E4,2025-06-30
ZETA-USD,2025-07-01,0.1691329926252365,2025-07-09,0.2029595911502838,TP,0.19999999999999996,8,E4,2025-06-30
STSOL-USD,2025-07-01,177.94534301757812,2025-07-16,211.87554931640625,TP,0.19067768632459445,15,E4,2025-06-30
BSOL-USD,2025-07-01,180.35562133789062,2025-07-15,214.1378631591797,TP,0.18730905957180613,14,E4,2025-06-30
CHILLGUY-USD,2025-07-01,0.04597000032663345,2025-07-02,0.05516400039196014,TP,0.19999999999999998,1,E4,2025-06-30
ZEREBRO-USD,2025-07-01,0.02729099988937378,2025-07-08,0.03274919986724854,TP,0.20000000000000004,7,E4,2025-06-30
WIF-USD,2025-08-01,0.8797019720077515,2025-08-12,1.0340640544891357,TP,0.1754708837688318,11,E4,2025-07-31
RAY-USD,2025-08-01,2.5950870513916016,2025-08-09,3.1141044616699216,TP,0.1999999999999999,8,E4,2025-07-31
RENDER-USD,2025-08-01,3.5361061096191406,2025-08-12,4.177793025970459,TP,0.18146709868399052,11,E4,2025-07-31
FARTCOIN-USD,2025-08-01,0.9171069860458374,2025-08-08,1.0921740531921387,TP,0.19089056109049346,7,E4,2025-07-31
ORCA-USD,2025-08-01,2.1163411140441895,2025-08-07,2.5396093368530273,TP,0.19999999999999996,6,E4,2025-07-31
MNDE-USD,2025-08-01,0.09189300239086151,2025-08-05,0.10208400338888168,TP,0.11090072946657402,4,E4,2025-07-31
MSOL-USD,2025-08-01,213.707275390625,2025-08-12,256.44873046875,TP,0.2,11,E4,2025-07-31
