cid,entry_date,exit_date,gross_return,hold_days,exit_type,recon_date
ORCA-USD,2025-06-01,2025-06-21,-0.3312827437074327,20,FIXED_20d,2025-05-31
MNDE-USD,2025-06-01,2025-06-21,-0.13114423353107904,20,FIXED_20d,2025-05-31
MSOL-USD,2025-06-01,2025-06-21,-0.16310257331505545,20,FIXED_20d,2025-05-31
JITOSOL-USD,2025-06-01,2025-06-21,-0.16185717271739972,20,FIXED_20d,2025-05-31
FIDA-USD,2025-06-01,2025-06-21,-0.2220438932028012,20,FIXED_20d,2025-05-31
GALA-USD,2025-06-01,2025-06-21,-0.2591847646359467,20,FIXED_20d,2025-05-31
PONKE-USD,2025-06-01,2025-06-21,-0.28306171629606103,20,FIXED_20d,2025-05-31
MYRO-USD,2025-06-01,2025-06-21,-0.34487140093389335,20,FIXED_20d,2025-05-31
SLERF-USD,2025-06-01,2025-06-21,-0.19040371671794085,20,FIXED_20d,2025-05-31
KMNO-USD,2025-06-01,2025-06-21,-0.028497458301954347,20,FIXED_20d,2025-05-31
PYUSD-USD,2025-06-01,2025-06-21,0.00045726408763439104,20,FIXED_20d,2025-05-31
HNT-USD,2025-06-01,2025-06-21,-0.3577230893894704,20,FIXED_20d,2025-05-31
IOTX-USD,2025-06-01,2025-06-21,-0.04928053236810793,20,FIXED_20d,2025-05-31
ZETA-USD,2025-06-01,2025-06-21,-0.2633225484172734,20,FIXED_20d,2025-05-31
STSOL-USD,2025-06-01,2025-06-21,-0.16624896292385435,20,FIXED_20d,2025-05-31
BSOL-USD,2025-06-01,2025-06-21,-0.16232737769097913,20,FIXED_20d,2025-05-31
CHILLGUY-USD,2025-06-01,2025-06-21,-0.4057065629128152,20,FIXED_20d,2025-05-31
ZEREBRO-USD,2025-06-01,2025-06-21,-0.2667300374452952,20,FIXED_20d,2025-05-31
WIF-USD,2025-07-01,2025-07-21,0.6263187806359256,20,FIXED_20d,2025-06-30
RAY-USD,2025-07-01,2025-07-21,0.6882069249967975,20,FIXED_20d,2025-06-30
RENDER-USD,2025-07-01,2025-07-21,0.49382784915363104,20,FIXED_20d,2025-06-30
FARTCOIN-USD,2025-07-01,2025-07-21,0.6315605894505558,20,FIXED_20d,2025-06-30
ORCA-USD,2025-07-01,2025-07-21,0.4836760474532715,20,FIXED_20d,2025-06-30
MNDE-USD,2025-07-01,2025-07-21,-0.04130101674528382,20,FIXED_20d,2025-06-30
MSOL-USD,2025-07-01,2025-07-21,0.4065684904456301,20,FIXED_20d,2025-06-30
JITOSOL-USD,2025-07-01,2025-07-21,0.40646191852081226,20,FIXED_20d,2025-06-30
FIDA-USD,2025-07-01,2025-07-21,0.8251394810803018,20,FIXED_20d,2025-06-30
GALA-USD,2025-07-01,2025-07-21,0.5035460480079917,20,FIXED_20d,2025-06-30
PONKE-USD,2025-07-01,2025-07-21,0.4828812534469126,20,FIXED_20d,2025-06-30
SLERF-USD,2025-07-01,2025-07-21,0.3769751571291,20,FIXED_20d,2025-06-30
KMNO-USD,2025-07-01,2025-07-21,0.20047584430172566,20,FIXED_20d,2025-06-30
PYUSD-USD,2025-07-01,2025-07-21,0.00014502273851589264,20,FIXED_20d,2025-06-30
HNT-USD,2025-07-01,2025-07-21,0.7443762866456374,20,FIXED_20d,2025-06-30
ZETA-USD,2025-07-01,2025-07-21,0.4474881463725746,20,FIXED_20d,2025-06-30
STSOL-USD,2025-07-01,2025-07-21,0.39917813899812943,20,FIXED_20d,2025-06-30
BSOL-USD,2025-07-01,2025-07-21,0.4059375525072958,20,FIXED_20d,2025-06-30
CHILLGUY-USD,2025-07-01,2025-07-21,0.7994779245149384,20,FIXED_20d,2025-06-30
ZEREBRO-USD,2025-07-01,2025-07-21,0.180205987765006,20,FIXED_20d,2025-06-30
WIF-USD,2025-08-01,2025-08-21,0.05981231727189265,20,FIXED_20d,2025-07-31
RAY-USD,2025-08-01,2025-08-21,0.3765615663400641,20,FIXED_20d,2025-07-31
RENDER-USD,2025-08-01,2025-08-21,0.0973887071735948,20,FIXED_20d,2025-07-31
FARTCOIN-USD,2025-08-01,2025-08-21,0.06728332404597225,20,FIXED_20d,2025-07-31
ORCA-USD,2025-08-01,2025-08-21,0.1323519040783509,20,FIXED_20d,2025-07-31
MNDE-USD,2025-08-01,2025-08-21,0.30458249653185143,20,FIXED_20d,2025-07-31
MSOL-USD,2025-08-01,2025-08-21,0.2384052859158389,20,FIXED_20d,2025-07-31
JITOSOL-USD,2025-08-01,2025-08-21,0.23579442023980393,20,FIXED_20d,2025-07-31
