hypothesis,horizon,cost,N,w_mean_gross,w_mean_net,median_gross,median_net,pct_positive,ci_mean_lo,ci_mean_hi,ci_median_lo,ci_median_hi,top1_share,top3_share,G1_sample,G2_mean_net,G3_median_net,G4_ci_lower,G5_concentration,G6_distinction,pass,failed_gates
H2_Mark_Oracle_Divergence,15m,0.05%,43,0.00012844658050575072,-0.0003715534194942493,1.500350322227977e-05,-0.0004849964967777202,0.5116279069767442,-0.0013208582367782772,0.0005614189075636371,-0.0014095362065322584,0.00043263539194185897,0.09519319084997452,0.2406305878369489,True,False,False,False,True,True,False,"['G2_mean_net', 'G3_median_net', 'G4_ci_lower']"
H2_Mark_Oracle_Divergence,15m,0.10%,43,0.00012844658050575072,-0.0008715534194942493,1.500350322227977e-05,-0.0009849964967777202,0.5116279069767442,-0.0018208582367782772,6.141890756363713e-05,-0.0019095362065322584,-6.736460805814104e-05,0.09519319084997452,0.2406305878369489,True,False,False,False,True,True,False,"['G2_mean_net', 'G3_median_net', 'G4_ci_lower']"
H2_Mark_Oracle_Divergence,1h,0.02%,43,0.00020304907448130625,3.049074481306245e-06,-0.00021235165217901929,-0.00041235165217901927,0.4418604651162791,-0.0014019997199688618,0.0014107718752252852,-0.0016326833549604627,0.0009648016997166738,0.07338467400322465,0.20224057227921116,True,True,False,False,True,True,False,"['G3_median_net', 'G4_ci_lower']"
H2_Mark_Oracle_Divergence,1h,0.05%,43,0.00020304907448130625,-0.00029695092551869373,-0.00021235165217901929,-0.0007123516521790193,0.4418604651162791,-0.0017019997199688617,0.0011107718752252852,-0.0019326833549604626,0.0006648016997166737,0.07338467400322465,0.20224057227921116,True,False,False,False,True,True,False,"['G2_mean_net', 'G3_median_net', 'G4_ci_lower']"
H2_Mark_Oracle_Divergence,1h,0.10%,43,0.00020304907448130625,-0.0007969509255186937,-0.00021235165217901929,-0.0012123516521790193,0.4418604651162791,-0.002201999719968862,0.0006107718752252852,-0.0024326833549604627,0.00016480169971667372,0.07338467400322465,0.20224057227921116,True,False,False,False,True,True,False,"['G2_mean_net', 'G3_median_net', 'G4_ci_lower']"
H2_Mark_Oracle_Divergence,4h,0.02%,43,-0.0014769589936067355,-0.0016769589936067356,-0.0012304792950655423,-0.0014304792950655424,0.46511627906976744,-0.005295363188364264,0.0019605333685805324,-0.005919720764435068,0.0029240215321487003,0.06427798116748763,0.1731377727712389,True,False,False,False,True,True,False,"['G2_mean_net', 'G3_median_net', 'G4_ci_lower']"
H2_Mark_Oracle_Divergence,4h,0.05%,43,-0.0014769589936067355,-0.0019769589936067355,-0.0012304792950655423,-0.0017304792950655424,0.46511627906976744,-0.005595363188364265,0.0016605333685805323,-0.006219720764435069,0.0026240215321487004,0.06427798116748763,0.1731377727712389,True,False,False,False,True,True,False,"['G2_mean_net', 'G3_median_net', 'G4_ci_lower']"
H2_Mark_Oracle_Divergence,4h,0.10%,43,-0.0014769589936067355,-0.0024769589936067355,-0.0012304792950655423,-0.0022304792950655424,0.46511627906976744,-0.006095363188364265,0.0011605333685805322,-0.006719720764435068,0.0021240215321487003,0.06427798116748763,0.1731377727712389,True,False,False,False,True,True,False,"['G2_mean_net', 'G3_median_net', 'G4_ci_lower']"
H3_Liquidation_Stress,15m,0.02%,6,-0.00028754691660084727,-0.00048754691660084725,-0.0004659551930018889,-0.0006659551930018889,0.3333333333333333,-0.0011099838520403796,0.00022243362452149107,-0.0013484272268570238,0.0005552448740508442,0.2938962207333799,0.7103617522264749,False,False,False,False,False,True,False,"['G1_sample', 'G2_mean_net', 'G3_median_net', 'G4_ci_lower', 'G5_concentration']"
H3_Liquidation_Stress,15m,0.05%,6,-0.00028754691660084727,-0.0007875469166008473,-0.0004659551930018889,-0.0009659551930018889,0.3333333333333333,-0.0014099838520403795,-7.756637547850892e-05,-0.0016484272268570237,0.00025524487405084414,0.2938962207333799,0.7103617522264749,False,False,False,False,False,True,False,"['G1_sample', 'G2_mean_net', 'G3_median_net', 'G4_ci_lower', 'G5_concentration']"
H3_Liquidation_Stress,15m,0.10%,6,-0.00028754691660084727,-0.0012875469166008474,-0.0004659551930018889,-0.001465955193001889,0.3333333333333333,-0.0019099838520403795,-0.0005775663754785089,-0.0021484272268570237,-0.0002447551259491559,0.2938962207333799,0.7103617522264749,False,False,False,False,False,True,False,"['G1_sample', 'G2_mean_net', 'G3_median_net', 'G4_ci_lower', 'G5_concentration']"
H3_Liquidation_Stress,1h,0.02%,6,0.0004230804646072556,0.0002230804646072556,0.0002739364853126335,7.393648531263351e-05,0.5,-0.0009927564187908436,0.001445529278906613,-0.0015020239725820155,0.0020910206464283126,0.26051027854680026,0.6686583914223277,False,True,True,False,False,True,False,"['G1_sample', 'G4_ci_lower', 'G5_concentration']"
H3_Liquidation_Stress,1h,0.05%,6,0.0004230804646072556,-7.691953539274441e-05,0.0002739364853126335,-0.0002260635146873665,0.5,-0.0012927564187908435,0.001145529278906613,-0.0018020239725820154,0.0017910206464283127,0.26051027854680026,0.6686583914223277,False,False,False,False,False,True,False,"['G1_sample', 'G2_mean_net', 'G3_median_net', 'G4_ci_lower', 'G5_concentration']"
H3_Liquidation_Stress,1h,0.10%,6,0.0004230804646072556,-0.0005769195353927444,0.0002739364853126335,-0.0007260635146873665,0.5,-0.0017927564187908435,0.000645529278906613,-0.002302023972582015,0.0012910206464283127,0.26051027854680026,0.6686583914223277,False,False,False,False,False,True,False,"['G1_sample', 'G2_mean_net', 'G3_median_net', 'G4_ci_lower', 'G5_concentration']"
H3_Liquidation_Stress,4h,0.02%,4,0.005870250027694162,0.005670250027694162,0.005259681536388644,0.005059681536388644,1.0,0.0020244135543268376,0.009353853624235022,0.0012978023585903322,0.011339368925756101,0.489858514449367,0.9364166928851575,False,True,True,True,False,True,False,"['G1_sample', 'G5_concentration']"
H3_Liquidation_Stress,4h,0.05%,4,0.005870250027694162,0.005370250027694161,0.005259681536388644,0.0047596815363886436,1.0,0.0017244135543268376,0.009053853624235022,0.0009978023585903322,0.011039368925756101,0.489858514449367,0.9364166928851575,False,True,True,True,False,True,False,"['G1_sample', 'G5_concentration']"
H3_Liquidation_Stress,4h,0.10%,4,0.005870250027694162,0.004870250027694162,0.005259681536388644,0.004259681536388644,1.0,0.0012244135543268376,0.008553853624235021,0.0004978023585903322,0.0105393689257561,0.489858514449367,0.9364166928851575,False,True,True,True,False,True,False,"['G1_sample', 'G5_concentration']"
