run_id,fire_id,fire_time_utc,fire_epoch,signal_symbol,signal_mint,control_symbol,control_mint,signal_net_5m,control_net_5m,delta_5m,signal_entry_quote_ok,control_entry_quote_ok,signal_fwd_quote_ok_5m,control_fwd_quote_ok_5m,signal_entry_ts_epoch,control_entry_ts_epoch,signal_fwd_due_epoch_5m,control_fwd_due_epoch_5m,signal_fwd_ts_epoch_5m,control_fwd_ts_epoch_5m,signal_entry_jitter_sec,control_entry_jitter_sec,signal_fwd_jitter_5m_sec,control_fwd_jitter_5m_sec,signal_row_valid,control_row_valid,invalid_reason_signal,invalid_reason_control,outlier_flag
1677a7da,0fac275a,2026-03-07T08:15:00+00:00,1772871300,LOLA,7BeoEbgJepbf4mAyw4PZ48TcgrDK25kR7zexV42Apump,AICOIN,217dt9idH1Q9UXT8rjpknnyFggizXUVD2r5EZNjopump,0.0442372,-0.039531,0.0837682,1,1,1,1,1772871303,1772871304,1772871600,1772871600,1772871605,1772871606,3,4,5,6,1,1,,,0
1677a7da,d1aa6001,2026-03-07T08:30:00+00:00,1772872200,MINDVOID,9VYUuSVZGw82Nz8rcSix4x4zurBmvkfiKtyvYCY4pump,Peace ,atVjZ7uM8sVrLFi5Xe1JiLGW6mW9pvQdTCWzhNFpump,-0.0120555,-0.0126825,0.000627,1,1,1,1,1772872209,1772872209,1772872500,1772872500,1772872501,1772872502,9,9,1,2,1,1,,,0
1677a7da,b43764c0,2026-03-07T08:45:00+00:00,1772873100,MINDVOID,9VYUuSVZGw82Nz8rcSix4x4zurBmvkfiKtyvYCY4pump,SOL人生,GWcAPiF2cBf5de8E1eSERcnVdH411NqT2peG7zDJpump,-0.0086958999999999,-0.0874802,0.0787843,1,1,1,1,1772873105,1772873105,1772873400,1772873400,1772873407,1772873407,5,5,7,7,1,1,,,0
1677a7da,91012045,2026-03-07T09:00:00+00:00,1772874000,AICOIN,217dt9idH1Q9UXT8rjpknnyFggizXUVD2r5EZNjopump,Machi,ATBR4i19gcQ31Rfr7ymA2XvkCQEAkNFGBtVKTmdqpump,0.122584,-0.0269481,0.1495321,1,1,1,1,1772874012,1772874013,1772874300,1772874300,1772874305,1772874306,12,13,5,6,1,1,,,1
1677a7da,ca385948,2026-03-07T09:15:00+00:00,1772874900,LOLA,7BeoEbgJepbf4mAyw4PZ48TcgrDK25kR7zexV42Apump,AICOIN,217dt9idH1Q9UXT8rjpknnyFggizXUVD2r5EZNjopump,-0.2123037,-0.0247129,-0.1875908,1,1,1,1,1772874908,1772874909,1772875200,1772875200,1772875200,1772875200,8,9,0,0,1,1,,,1
1677a7da,7b904907,2026-03-07T09:30:00+00:00,1772875800,MINDVOID,9VYUuSVZGw82Nz8rcSix4x4zurBmvkfiKtyvYCY4pump,LOLA,7BeoEbgJepbf4mAyw4PZ48TcgrDK25kR7zexV42Apump,0.0071076999999999,0.0443193,-0.0372116,1,1,1,1,1772875803,1772875804,1772876100,1772876100,1772876105,1772876106,3,4,5,6,1,1,,,0
1677a7da,3bcb42a6,2026-03-07T09:45:00+00:00,1772876700,SOL人生,GWcAPiF2cBf5de8E1eSERcnVdH411NqT2peG7zDJpump,CORVUS,CoPRYLGHc7Qadere13xSPhRvgwwStCZn9dHpBZQ7pump,-0.0338824,0.0807910000000001,-0.1146734,1,1,1,1,1772876709,1772876709,1772877000,1772877000,1772877001,1772877001,9,9,1,1,1,1,,,1
1677a7da,de66b960,2026-03-07T10:00:00+00:00,1772877600,MINDVOID,9VYUuSVZGw82Nz8rcSix4x4zurBmvkfiKtyvYCY4pump,PIZZA,G9ivB7K41a4G8m1k4QdxxN4L5eGKL7Mr12S26B85pump,0.2199121,-0.0315894,0.2515015,1,1,1,1,1772877605,1772877606,1772877900,1772877900,1772877907,1772877908,5,6,7,8,1,1,,,1
1677a7da,f5687fae,2026-03-07T10:15:00+00:00,1772878500,PIZZA,G9ivB7K41a4G8m1k4QdxxN4L5eGKL7Mr12S26B85pump,MINDVOID,9VYUuSVZGw82Nz8rcSix4x4zurBmvkfiKtyvYCY4pump,0.0044584,0.0316141999999999,-0.0271557999999998,1,1,1,1,1772878511,1772878511,1772878800,1772878800,1772878803,1772878803,11,11,3,3,1,1,,,0
1677a7da,1d823eb0,2026-03-07T10:30:00+00:00,1772879400,SHAPE,4HhWcsfjaWYKJtjaxd4EyGSAL4Ky8C3DvqAWPHnrpump,Machi,ATBR4i19gcQ31Rfr7ymA2XvkCQEAkNFGBtVKTmdqpump,-0.0185362,-0.0291351,0.0105989,1,1,1,1,1772879407,1772879408,1772879700,1772879700,1772879700,1772879701,7,8,0,1,1,1,,,0
